timestamp,ch,can_id,type,dlc,data_hex
2026-07-05 16:43:03.441,CAN1,003,FD,10,73 09 00 5B BC BB 55 3E B4 BF 00 00 30 EA 65 01
2026-07-05 16:43:03.665,CAN1,003,FD,10,73 09 00 5C BC BB 55 3E C9 BF 00 00 30 6B 65 01
2026-07-05 16:43:03.891,CAN1,003,FD,10,73 09 00 5D BC BB 55 3E CA BF 00 00 30 25 65 01
2026-07-05 16:43:04.115,CAN1,003,FD,10,73 09 00 5E BC BB 55 3E CD BF 00 00 30 74 65 01
2026-07-05 16:43:04.340,CAN1,003,FD,10,73 09 00 5F BC BB 55 3E C2 BF 00 00 30 1B 65 01
2026-07-05 16:43:04.564,CAN1,003,FD,10,73 09 00 60 BC BB 55 3E A3 BF 00 00 30 C7 65 01
2026-07-05 16:43:04.788,CAN1,003,FD,10,73 09 00 61 BC BB 55 3E 9C BF 00 00 30 2C 65 01
2026-07-05 16:43:05.014,CAN1,003,FD,10,73 09 00 62 BC BB 55 3E 92 BF 00 00 30 8E 65 01
2026-07-05 16:43:05.238,CAN1,003,FD,10,73 09 00 63 BC BB 55 3E 92 BF 00 00 30 8E 65 01
2026-07-05 16:43:17.903,CAN1,003,FD,10,73 09 00 64 BC BB 55 3E 92 BF 00 00 30 8E 65 01
2026-07-05 16:43:17.903,CAN1,003,FD,10,73 09 00 65 BC BB 55 3E AA BF 00 00 30 34 65 01
2026-07-05 16:43:17.904,CAN1,003,FD,10,73 09 00 66 BC BB 55 3E 8B BF 00 00 30 01 65 01
2026-07-05 16:43:17.906,CAN1,003,FD,10,73 09 00 67 BC BB 55 3E 8D BF 00 00 30 9D 65 00
2026-07-05 16:43:17.907,CAN1,003,FD,10,73 09 00 68 BC BB 55 3E 9A BF 00 00 30 B0 65 01
2026-07-05 16:43:17.907,CAN1,003,FD,10,73 09 00 69 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:18.046,CAN1,003,FD,10,73 09 00 6A BC BB 55 3E 9E BF 00 00 30 AF 65 01
2026-07-05 16:43:18.272,CAN1,003,FD,10,73 09 00 6B BC BB 55 3E A9 BF 00 00 30 7A 65 01
2026-07-05 16:43:18.497,CAN1,003,FD,10,73 09 00 6C BC BB 55 3E A1 BF 00 00 30 44 65 01
2026-07-05 16:43:18.721,CAN1,003,FD,10,73 09 00 6D BC BB 55 3E 93 BF 00 00 30 43 65 01
2026-07-05 16:43:18.945,CAN1,003,FD,10,73 09 00 6E BC BB 55 3E 8F BF 00 00 30 1E 65 01
2026-07-05 16:43:19.171,CAN1,003,FD,10,73 09 00 6F BC BB 55 3E AA BF 00 00 30 34 65 01
2026-07-05 16:43:19.395,CAN1,003,FD,10,73 09 00 70 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:19.621,CAN1,003,FD,10,73 09 00 71 BC BB 55 3E 93 BF 00 00 30 43 65 01
2026-07-05 16:43:19.844,CAN1,003,FD,10,73 09 00 72 BC BB 55 3E 98 BF 00 00 30 33 65 01
2026-07-05 16:43:20.070,CAN1,003,FD,10,73 09 00 73 BC BB 55 3E 8E BF 00 00 30 D3 65 01
2026-07-05 16:43:20.295,CAN1,003,FD,10,73 09 00 74 BC BB 55 3E B1 BF 00 00 30 38 65 01
2026-07-05 16:43:20.520,CAN1,003,FD,10,73 09 00 75 BC BB 55 3E B5 BF 00 00 30 27 65 01
2026-07-05 16:43:20.744,CAN1,003,FD,10,73 09 00 76 BC BB 55 3E C6 BF 00 00 30 04 65 01
2026-07-05 16:43:20.968,CAN1,003,FD,10,73 09 00 77 BC BB 55 3E C9 BF 00 00 30 6B 65 01
2026-07-05 16:43:21.194,CAN1,003,FD,10,73 09 00 78 BC BB 55 3E B3 BF 00 00 30 BB 65 01
2026-07-05 16:43:21.417,CAN1,003,FD,10,73 09 00 79 BC BB 55 3E A9 BF 00 00 30 7A 65 01
2026-07-05 16:43:21.643,CAN1,003,FD,10,73 09 00 7A BC BB 55 3E CF BF 00 00 30 F7 65 01
2026-07-05 16:43:21.866,CAN1,003,FD,10,73 09 00 7B BC BB 55 3E BB BF 00 00 30 85 65 01
2026-07-05 16:43:22.093,CAN1,003,FD,10,73 09 00 7C BC BB 55 3E B3 BF 00 00 30 BB 65 01
2026-07-05 16:43:22.317,CAN1,003,FD,10,73 09 00 7D BC BB 55 3E AC BF 00 00 30 A8 65 01
2026-07-05 16:43:22.542,CAN1,003,FD,10,73 09 00 7E BC BB 55 3E B7 BF 00 00 30 A4 65 01
